year,series,t1,t2,gamesInSeries,serieshr1count,seasonhr1count,serieshr2count,seasonhr2count,serieshrt1avg,seasonhrt1avg,serieshrt2avg,seasonhrt2avg,averageRsHr,gamesInSeason,,
2019,ws,nationals,astros,7,11,231,11,288,1.571428571,1.425925926,1.571428571,1.777777778,1.39,162,,
2019,alcs,astros,yankees,6,8,288,10,306,1.333333333,1.777777778,1.666666667,1.888888889,0,0,,
2019,nlcs,nationals,cardinals,4,2,231,1,210,0.5,1.425925926,0.25,1.296296296,0,0,,
2019,alds1,astros,rays,5,6,288,7,217,1.2,1.777777778,1.4,1.339506173,0,0,,
2019,alds2,yankees,twins,3,5,306,4,307,1.666666667,1.888888889,1.333333333,1.895061728,0,0,,
2019,nlds1,nationals,dodgers,5,5,231,9,279,1,1.425925926,1.8,1.722222222,0,0,,
2019,nlds2,cardinals,braves,5,4,210,5,249,0.8,1.296296296,1,1.537037037,0,0,,
2019,wc1,rays,athletics,1,4,217,0,257,4,1.339506173,0,1.586419753,0,0,,
2019,wc2,nationals,brewers,1,1,231,2,250,1,1.425925926,2,1.543209877,0,0,,
2018,ws,red sox,dodgers,5,8,208,6,235,1.6,1.283950617,1.2,1.450617284,1.15,0,,
2018,alcs,red sox,astros,5,5,208,6,205,1,1.283950617,1.2,1.265432099,0,0,,1.283333333
2018,nlcs,dodgers,brewers,7,5,235,6,218,0.7142857143,1.450617284,0.8571428571,1.345679012,0,0,,1.326474623
2018,alds1,red sox,yankees,4,4,208,4,218,1,1.283950617,1,1.345679012,0,0,,
2018,alds2,astros,indians,3,8,208,2,216,2.666666667,1.283950617,0.6666666667,1.333333333,0,0,,
2018,nlds1,brewers,rockies,3,4,218,0,210,1.333333333,1.345679012,0,1.296296296,0,0,,
2018,nlds2,dodgers,braves,4,8,235,2,175,2,1.450617284,0.5,1.080246914,0,0,,
2018,wc1,yankees,athletics,1,2,267,1,227,2,1.648148148,1,1.401234568,0,0,,
2018,wc2,rockies,cubs,1,0,210,0,167,0,1.296296296,0,1.030864198,0,0,,
2017,ws,astros,dodgers,7,15,238,10,221,2.142857143,1.469135802,1.428571429,1.364197531,1.26,0,,
2017,alcs,astros,yankees,7,4,238,6,241,0.5714285714,1.469135802,0.8571428571,1.487654321,0,0,,
2017,nlcs,dodgers,cubs,5,10,221,7,223,2,1.364197531,1.4,1.37654321,0,0,,
2017,alds1,yankees,indians,5,7,241,5,212,1.4,1.487654321,1,1.308641975,0,0,,
2017,alds2,astros,red sox,4,8,238,5,168,2,1.469135802,1.25,1.037037037,0,0,,
2017,nlds1,dodgers,diamondbacks,3,3,221,7,220,1,1.364197531,2.333333333,1.358024691,0,0,,
2017,nlds2,cubs,nationals,5,2,223,6,215,0.4,1.37654321,1.2,1.327160494,0,0,,
2017,wc1,yankees,twins,1,3,241,2,206,3,1.487654321,2,1.271604938,0,0,,
2017,wc2,diamondbacks,rockies,1,2,11,2,192,2,0.06790123457,2,1.185185185,0,0,,
2016,ws,cubs,indians,7,8,199,7,185,1.142857143,1.228395062,1,1.141975309,1.16,0,,
2016,alcs,indians,blue jays,5,6,185,8,221,1.2,1.141975309,1.6,1.364197531,0,0,,
2016,nlcs,cubs,dodgers,6,7,199,4,189,1.166666667,1.228395062,0.6666666667,1.166666667,0,0,,
2016,alds1,blue jays,rangers,3,8,221,2,215,2.666666667,1.364197531,0.6666666667,1.327160494,0,0,,
2016,alds2,indians,red sox,3,5,185,3,208,1.666666667,1.141975309,1,1.283950617,0,0,,
2016,nlds1,cubs,giants,4,5,199,0,130,1.25,1.228395062,0,0.8024691358,0,0,,
2016,nlds2,dodgers,nationals,5,6,189,4,203,1.2,1.166666667,0.8,1.25308642,0,0,,
2016,wc1,blue jays,orioles,1,2,221,1,253,2,1.364197531,1,1.561728395,0,0,,
2016,wc2,giants,mets,1,1,130,0,218,1,0.8024691358,0,1.345679012,0,0,,
2015,ws,royals,mets,5,2,139,6,177,0.4,0.8580246914,1.2,1.092592593,1.01,0,,
2015,alcs,royals,blue jays,6,7,139,6,232,1.166666667,0.8580246914,1,1.432098765,0,0,,
2015,nlcs,mets,cubs,4,7,177,4,171,1.75,1.092592593,1,1.055555556,0,0,,
2015,alds1,royals,astros,5,8,139,9,230,1.6,0.8580246914,1.8,1.419753086,0,0,,
2015,alds2,blue jays,rangers,5,8,232,3,172,1.6,1.432098765,0.6,1.061728395,0,0,,
2015,nlds1,cubs,cardinals,4,10,171,8,137,2.5,1.055555556,2,0.8456790123,0,0,,
2015,nlds2,mets,dodgers,5,7,177,2,187,1.4,1.092592593,0.4,1.154320988,0,0,,
2015,wc1,astros,yankees,1,2,230,0,212,2,1.419753086,0,1.308641975,0,0,,
2015,wc2,cubs,pirates,1,2,171,0,140,2,1.055555556,0,0.8641975309,0,0,,
